2019-02-23 11:50:08 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Товары для животных
2019-02-23 11:50:12 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Электроника
2019-02-23 11:50:14 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> ТВ, видео
2019-02-23 11:50:17 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Электроника
2019-02-23 11:50:19 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Аудиотехника
2019-02-23 11:50:21 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Электроника
2019-02-23 11:50:23 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Портативные устройства
2019-02-23 11:50:28 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Электроника
2019-02-23 11:50:30 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Музыкальные инструменты, оборудование
2019-02-23 11:50:33 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Электроника
2019-02-23 11:50:35 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Гаджеты, подарки
2019-02-23 11:50:37 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Электроника
2019-02-23 11:50:39 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Фото, видеосъемка
2019-02-23 11:50:42 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для ремонта
2019-02-23 11:50:44 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Сантехника
2019-02-23 11:50:48 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для ремонта
2019-02-23 11:50:50 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Отопление, водоснабжение, вентиляция
2019-02-23 11:50:54 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:109 - =====Step4===== Select navigation item and check -> Для ремонта
2019-02-23 11:50:56 INFO  TC_03_Auth_SelectSubcategoryofNavigationItem:112 - =====Step5===== Select subcategory of navigation menu -> Двери и конструкции для дома
